gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG000000001,147.5,2.489275153529693,0.0,0.0,0.0012266387815186635,0.06674562205057956,TP53
ENSG000000002,45.375,2.4583644958861823,0.0,0.0,0.00045880338054184687,0.035426175311838316,BRCA1
ENSG000000003,255.25,2.1854227430085293,0.0,0.0,0.0024299730066331786,0.08132343453512396,MYC
ENSG000000004,1278.125,2.1441056087313726,0.0,0.0,0.007847742969410217,0.14839032874072366,EGFR
ENSG000000005,38.375,2.476724030156226,0.0,0.0,0.0016161696054393278,0.07205071211382674,KRAS
ENSG000000006,52.125,2.836807383312555,0.0,0.0,0.001114120161430587,0.06338757339507708,PTEN
ENSG000000007,1450.875,1.4661494571715625,0.0,0.0,0.10502626060000302,0.5913197276489753,CDH1
ENSG000000008,329.25,2.1330963071766496,0.0,0.0,0.010243634438039058,0.16404990855585513,RB1
ENSG000000009,19.5,2.6110811815617723,0.0,0.0,0.0063646689438052765,0.1310515643476858,PIK3CA
ENSG000000010,220.625,2.2065137428377044,0.0,0.0,0.0019836497906922726,0.07658305084779811,APC
ENSG000000011,31.25,3.0994101637664495,0.0,0.0,0.0003994798229399186,0.035426175311838316,VEGFA
ENSG000000012,33.125,2.9650206633870617,0.0,0.0,0.0018081846543027884,0.0754722872523878,FGFR1
ENSG000000013,75.5,1.7428163679295032,0.0,0.0,0.07518587659076185,0.504819457109401,ERBB2
ENSG000000016,24.625,2.3286798319939837,0.0,0.0,0.0036604559079444084,0.09421316277352156,BCL2
ENSG000000017,8.75,1.9346872687596424,0.0,0.0,0.018296822821932936,0.22250260109306766,MDM2
ENSG000000018,174.0,3.6994621888106263,0.0,0.0,0.001478720847132968,0.07205071211382674,CDK4
ENSG000000019,10.625,1.775329788605819,0.0,0.0,0.030027294877639898,0.301531920475147,CCND1
ENSG000000021,1075.75,2.002791938687009,0.0,0.0,0.018730561239101905,0.22250260109306766,STAT3
ENSG000000022,31.75,2.0473596410498374,0.0,0.0,0.012744420969402388,0.18872217901265728,MTOR
ENSG000000023,65.625,1.958518356779189,0.0,0.0,0.002595428761759275,0.08132343453512396,AKT1
ENSG000000024,4.5,2.69982040538048,0.0,0.0,0.00041532521453505137,0.035426175311838316,MAPK1
ENSG000000025,27.0,2.8656255681493157,0.0,0.0,0.008307989656548494,0.14884950019860535,RAF1
